Oracle Cloud Region Name,Region Code,Mean,Median,Min,Max,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12
Australia East (Sydney),ap-sydney-1,783,762,297,1299,1230,316,1195,297,1299,302,1256,298,1299,329,1272,298
Australia Southeast (Melbourne),ap-melbourne-1,795,767,293,1347,1255,338,1324,341,1203,295,1296,293,1347,326,1193,329
Brazil East (Sao Paulo),sa-saopaulo-1,826,741,736,1655,1655,740,776,738,766,736,737,736,800,752,742,739
Brazil Southeast (Vinhedo),sa-vinhedo-1,809,762,743,1358,778,744,743,1358,777,764,743,743,776,744,772,760
Canada Southeast (Montreal),ca-montreal-1,441,435,338,521,469,435,429,438,521,338,416,458,501,425,424,435
Canada Southeast (Toronto),ca-toronto-1,452,449,425,496,496,465,442,425,449,448,429,446,480,425,459,464
Chile (Santiago),sa-santiago-1,746,828,197,920,819,920,197,855,848,795,837,602,838,783,836,626
France South (Marseille),eu-marseille-1,144,117,34,441,115,441,34,115,137,153,116,133,114,114,118,138
Germany Central (Frankfurt),eu-frankfurt-1,203,198,150,286,233,169,150,189,286,162,206,232,257,165,171,211
India South (Hyderabad),ap-hyderabad-1,776,695,268,1549,1549,279,1349,273,1135,281,1105,285,1136,268,1380,273
India West (Mumbai),ap-mumbai-1,628,591,567,1060,613,567,582,598,605,590,592,567,1060,611,576,576
Israel Central (Jerusalem),il-jerusalem-1,389,363,338,705,340,387,358,705,356,355,371,385,369,340,368,338
Italy Northwest (Milan),eu-milan-1,157,154,112,195,144,143,168,151,195,146,160,145,164,157,194,112
Japan Central (Osaka),ap-osaka-1,704,687,268,1279,1110,272,1279,301,1088,269,1073,272,1126,272,1112,268
Japan East (Tokyo),ap-tokyo-1,680,692,262,1144,1144,345,1055,263,1088,265,1039,262,1082,262,1087,267
Netherlands,eu-amsterdam-1,183,175,156,242,184,169,171,159,232,242,176,173,156,176,173,180
Saudi Arabia West (Jeddah),me-jeddah-1,536,501,489,890,890,491,504,520,516,498,494,525,489,489,518,497
Singapore (Singapore),ap-singapore-1,763,1002,251,1065,998,1005,1002,1022,251,1016,262,1065,258,1024,256,1001
South Africa Central (Johannesburg),af-johannesburg-1,847,768,744,1692,832,792,749,744,759,756,767,772,769,1692,753,776
South Korea Central (Seoul),ap-seoul-1,715,695,281,1198,282,1100,281,1144,281,1111,289,1156,282,1198,287,1169
South Korea North (Chuncheon),ap-chuncheon-1,712,728,271,1165,294,1099,311,1134,356,1165,293,1118,274,1110,271,1116
Sweden Central (Stockholm),eu-stockholm-1,282,257,240,557,258,284,260,557,272,255,254,240,245,263,246,251
Switzerland North (Zurich),eu-zurich-1,207,200,153,266,266,218,181,256,191,200,153,236,219,192,200,169
UAE Central (Abu Dhabi),me-abudhabi-1,624,658,171,686,171,660,655,637,677,644,685,686,654,682,679,655
UAE East (Dubai),me-dubai-1,691,697,625,739,632,704,726,700,682,625,714,739,679,686,709,693
UK South (London),uk-london-1,182,161,140,260,206,151,162,252,148,143,160,216,154,140,191,260
UK West (Newport),uk-cardiff-1,206,182,40,603,152,603,40,183,185,149,215,204,147,172,180,240
US East (Ashburn),us-ashburn-1,447,414,367,778,778,425,370,438,380,403,380,482,367,368,440,533
US West (Phoenix),us-phoenix-1,631,612,592,727,605,727,612,610,622,635,605,671,592,612,612,663
US West (San Jose),us-sanjose-1,693,687,668,763,670,686,721,713,668,688,669,699,763,676,668,692
