Digital Ocean Region Name,Region Code,Mean,Median,Min,Max,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10
NYC 1 (New York City),nyc-1,256,207,199,693,204,217,199,216,203,693,211,208,200,205
NYC 3 (New York City),nyc-3,215,204,196,263,208,218,199,251,196,263,220,199,198,197
SFO 1 (San Francisco),sfo-1,342,334,327,390,327,332,335,362,334,390,330,328,350,334
SFO 2 (San Francisco),sfo-2,205,172,170,501,173,501,171,171,181,171,173,172,170,170
SFO 3 (San Francisco),sfo-3,337,332,324,393,332,332,326,333,332,393,324,332,337,330
AMS,ams-3,117,115,107,151,107,108,122,123,108,151,117,119,107,112
SGP 1 (Singapore),sgp-1,518,517,502,551,551,516,502,517,522,541,505,504,508,517
LON 1 (London),lon-1,106,100,79,138,90,96,131,102,128,138,97,98,79,102
FRA (Frankfurt),fra-1,105,102,89,139,104,103,122,92,96,139,101,89,101,102
TOR 1 (Toronto),tor-1,262,232,229,492,235,231,231,232,240,265,230,229,492,231
BLR (Bangalore),blr-1,30285,30277,30267,30344,30304,30275,30270,30276,30276,30344,30278,30279,30282,30267
